Customer_ID,Email,Gender,Region,Product,Category,Quantity,Price,Date,CLV
CUST0001,user1@outlook.com,Male,West,Laptop,Electronics,3,2146,2023-01-01,6438
CUST0002,user2@bizmail.com,Female,West,Accessory,Gadgets,1,1418,2023-01-02,1418
CUST0003,user3@gmail.com,Male,East,Accessory,Electronics,2,2910,2023-01-03,5820
CUST0004,user4@outlook.com,Male,North,Smartphone,Electronics,3,2274,2023-01-04,6822
CUST0005,user5@outlook.com,Female,West,Tablet,Gadgets,1,2031,2023-01-05,2031
CUST0006,user6@bizmail.com,Male,West,Tablet,Electronics,3,2406,2023-01-06,7218
CUST0007,user7@gmail.com,Female,South,Tablet,Gadgets,1,1715,2023-01-07,1715
CUST0008,user8@gmail.com,Female,West,Accessory,Electronics,1,2154,2023-01-08,2154
CUST0009,user9@outlook.com,Female,West,Accessory,Add-ons,1,984,2023-01-09,984
CUST0010,user10@yahoo.com,Male,South,Accessory,Add-ons,2,2575,2023-01-10,5150
CUST0011,user11@outlook.com,Male,East,Laptop,Electronics,2,1213,2023-01-11,2426
CUST0012,user12@outlook.com,Male,West,Smartphone,Electronics,3,1562,2023-01-12,4686
CUST0013,user13@outlook.com,Male,South,Accessory,Electronics,1,2476,2023-01-13,2476
CUST0014,user14@outlook.com,Male,North,Smartphone,Add-ons,1,1796,2023-01-14,1796
CUST0015,user15@bizmail.com,Male,East,Smartphone,Electronics,2,1754,2023-01-15,3508
CUST0016,user16@gmail.com,Male,North,Tablet,Add-ons,1,2633,2023-01-16,2633
CUST0017,user17@bizmail.com,Female,North,Laptop,Gadgets,2,625,2023-01-17,1250
CUST0018,user18@bizmail.com,Male,South,Accessory,Add-ons,1,1036,2023-01-18,1036
CUST0019,user19@bizmail.com,Female,West,Tablet,Add-ons,3,2692,2023-01-19,8076
CUST0020,user20@outlook.com,Male,South,Tablet,Gadgets,1,2572,2023-01-20,2572
CUST0021,user21@yahoo.com,Male,South,Accessory,Add-ons,1,2103,2023-01-21,2103
CUST0022,user22@gmail.com,Male,South,Smartphone,Electronics,4,566,2023-01-22,2264
CUST0023,user23@yahoo.com,Female,South,Tablet,Electronics,2,732,2023-01-23,1464
CUST0024,user24@bizmail.com,Female,East,Smartphone,Add-ons,1,2656,2023-01-24,2656
CUST0025,user25@bizmail.com,Female,West,Laptop,Electronics,1,1669,2023-01-25,1669
CUST0026,user26@yahoo.com,Female,North,Smartphone,Add-ons,4,2658,2023-01-26,10632
CUST0027,user27@yahoo.com,Male,North,Laptop,Electronics,4,2775,2023-01-27,11100
CUST0028,user28@yahoo.com,Female,West,Smartphone,Electronics,2,610,2023-01-28,1220
CUST0029,user29@bizmail.com,Male,North,Tablet,Add-ons,4,1993,2023-01-29,7972
CUST0030,user30@bizmail.com,Male,West,Tablet,Electronics,3,2581,2023-01-30,7743
CUST0031,user31@gmail.com,Female,North,Laptop,Add-ons,4,1122,2023-01-31,4488
CUST0032,user32@gmail.com,Female,South,Accessory,Electronics,3,2972,2023-02-01,8916
CUST0033,user33@bizmail.com,Female,North,Laptop,Electronics,2,2041,2023-02-02,4082
CUST0034,user34@yahoo.com,Female,West,Laptop,Gadgets,2,1805,2023-02-03,3610
CUST0035,user35@yahoo.com,Female,West,Smartphone,Gadgets,2,2261,2023-02-04,4522
CUST0036,user36@gmail.com,Female,West,Smartphone,Add-ons,2,2475,2023-02-05,4950
CUST0037,user37@bizmail.com,Female,West,Laptop,Gadgets,2,2862,2023-02-06,5724
CUST0038,user38@gmail.com,Female,West,Tablet,Add-ons,3,1376,2023-02-07,4128
CUST0039,user39@gmail.com,Male,East,Smartphone,Gadgets,3,2489,2023-02-08,7467
CUST0040,user40@outlook.com,Female,East,Accessory,Electronics,2,1812,2023-02-09,3624
CUST0041,user41@outlook.com,Female,North,Smartphone,Add-ons,4,1960,2023-02-10,7840
CUST0042,user42@outlook.com,Male,West,Smartphone,Add-ons,1,2824,2023-02-11,2824
CUST0043,user43@yahoo.com,Female,North,Accessory,Electronics,2,2233,2023-02-12,4466
CUST0044,user44@bizmail.com,Male,West,Laptop,Add-ons,4,2105,2023-02-13,8420
CUST0045,user45@bizmail.com,Male,West,Accessory,Add-ons,1,2026,2023-02-14,2026
CUST0046,user46@bizmail.com,Female,East,Laptop,Gadgets,2,2897,2023-02-15,5794
CUST0047,user47@bizmail.com,Male,East,Laptop,Add-ons,2,2130,2023-02-16,4260
CUST0048,user48@outlook.com,Male,South,Laptop,Electronics,3,1660,2023-02-17,4980
CUST0049,user49@yahoo.com,Male,East,Accessory,Gadgets,1,1258,2023-02-18,1258
CUST0050,user50@yahoo.com,Male,South,Laptop,Gadgets,1,742,2023-02-19,742
CUST0051,user51@outlook.com,Female,South,Tablet,Electronics,4,1563,2023-02-20,6252
CUST0052,user52@yahoo.com,Male,South,Accessory,Electronics,3,728,2023-02-21,2184
CUST0053,user53@outlook.com,Female,South,Tablet,Gadgets,3,1419,2023-02-22,4257
CUST0054,user54@bizmail.com,Male,South,Laptop,Add-ons,3,1746,2023-02-23,5238
CUST0055,user55@outlook.com,Male,North,Smartphone,Gadgets,3,505,2023-02-24,1515
CUST0056,user56@bizmail.com,Male,East,Laptop,Electronics,1,967,2023-02-25,967
